date,spcx_price_usd,fx_rate,pct_vs_ipo,value_usd,value_krw,cost_usd,cost_krw,gain_usd,gain_krw,return_usd,return_krw,price_effect_krw,fx_effect_krw,source
2026-06-12,160.95,1527.0,0.192222,92564149.24,141345455895.0,77640013.34,117997292282.0,14924135.9,23348163613.0,0.192222,0.19787,22681701739.0,666461875.0,auto
2026-06-15,192.5,1520.4,0.425926,110708907.92,168321823598.0,77640013.34,117997292282.0,33068894.57,50324531317.0,0.425926,0.426489,50258105972.0,66425345.0,auto
2026-06-16,201.8,1510.0,0.494815,116057442.17,175246737677.0,77640013.34,117997292282.0,38417428.83,57249445396.0,0.494815,0.485176,58386808329.0,-1137362933.0,auto
2026-06-17,191.82,1513.5,0.420889,110317832.29,166966039178.0,77640013.34,117997292282.0,32677818.95,48968746897.0,0.420889,0.414999,49663749240.0,-695002343.0,auto
2026-06-18,185.0,1512.8,0.37037,106395573.84,160955224110.0,77640013.34,117997292282.0,28755560.5,42957931828.0,0.37037,0.364059,43702700845.0,-744769017.0,auto
2026-06-19,185.0,1523.4,0.37037,106395573.84,162083017192.0,77640013.34,117997292282.0,28755560.5,44085724911.0,0.37037,0.373616,43702700845.0,383024066.0,auto
2026-06-22,154.6,1535.0,0.145185,88912193.06,136480216347.0,77640013.34,117997292282.0,11272179.72,18482924066.0,0.145185,0.156639,17131458731.0,1351465335.0,auto
2026-06-23,156.11,1535.7,0.15637,89780610.99,137876084293.0,77640013.34,117997292282.0,12140597.64,19878792011.0,0.15637,0.168468,18451280297.0,1427511715.0,auto
2026-06-24,154.54,1537.2,0.144741,88877686.39,136622779515.0,77640013.34,117997292282.0,11237673.04,18625487233.0,0.144741,0.157847,17079015490.0,1546471743.0,auto
2026-06-25,153.0,1538.3,0.133333,87992015.12,135358116866.0,77640013.34,117997292282.0,10352001.78,17360824584.0,0.133333,0.147129,15732972304.0,1627852280.0,auto
2026-06-26,153.23,1545.3,0.135037,88124290.7,136178466423.0,77640013.34,117997292282.0,10484277.36,18181174141.0,0.135037,0.154081,15934004728.0,2247169413.0,auto
2026-06-29,164.19,1544.2,0.216222,94427509.56,145814960268.0,77640013.34,117997292282.0,16787496.22,27817667987.0,0.216222,0.235748,25513636753.0,2304031233.0,auto
2026-06-30,170.86,1541.5,0.26563,98263501.33,151473187307.0,77640013.34,117997292282.0,20623487.99,33475895025.0,0.26563,0.283701,31343577046.0,2132317979.0,auto
2026-07-01,157.54,1548.4,0.166963,90603020.02,140289716195.0,77640013.34,117997292282.0,12963006.67,22292423913.0,0.166963,0.188923,19701177541.0,2591246372.0,auto
2026-07-02,162.0,1554.4,0.2,93168016.01,144820364092.0,77640013.34,117997292282.0,15528002.67,26823071810.0,0.2,0.227319,23599458456.0,3223613354.0,auto
2026-07-03,162.0,1554.1,0.2,93168016.01,144792413687.0,77640013.34,117997292282.0,15528002.67,26795121406.0,0.2,0.227083,23599458456.0,3195662949.0,auto
2026-07-06,160.42,1539.7,0.188296,92259340.3,142051706263.0,77640013.34,117997292282.0,14619326.96,24054413982.0,0.188296,0.203856,22218453110.0,1835960872.0,auto
2026-07-07,149.47,1531.8,0.107185,85961872.55,131676396377.0,77640013.34,117997292282.0,8321859.21,13679104095.0,0.107185,0.115927,12647561625.0,1031542471.0,auto
2026-07-08,148.3,1526.6,0.098519,85288992.44,130202175855.0,77640013.34,117997292282.0,7648979.09,12204883573.0,0.098519,0.103434,11624918425.0,579965149.0,auto
2026-07-09,152.16,1509.9,0.127111,87508921.71,132129720887.0,77640013.34,117997292282.0,9868908.36,14132428605.0,0.127111,0.119769,14998766930.0,-866338325.0,auto
2026-07-10,145.3,1504.2,0.076296,83563658.81,125696455578.0,77640013.34,117997292282.0,5923645.46,7699163297.0,0.076296,0.065249,9002756374.0,-1303593077.0,auto
2026-07-13,139.14,1507.1,0.030667,80020973.75,120599609545.0,77640013.34,117997292282.0,2380960.41,2602317263.0,0.030667,0.022054,3618583630.0,-1016266367.0,auto
2026-07-14,136.08,1504.9,0.008,78261133.45,117775179731.0,77640013.34,117997292282.0,621120.11,-222112550.0,0.008,-0.001882,943978338.0,-1166090888.0,auto
2026-07-15,135.27,1492.2,0.002,77795293.37,116086136769.0,77640013.34,117997292282.0,155280.03,-1911155512.0,0.002,-0.016197,235994585.0,-2147150097.0,auto
2026-07-16,131.11,1488.8,-0.028815,75402830.74,112259734403.0,77640013.34,117997292282.0,-2237182.61,-5737557879.0,-0.028815,-0.048624,-3400070126.0,-2337487753.0,auto
2026-07-17,123.99,1488.8,-0.081556,71308038.92,106163408349.0,77640013.34,117997292282.0,-6331974.42,-11833883933.0,-0.081556,-0.100289,-9623334726.0,-2210549207.0,auto
2026-07-20,119.85,1484.3,-0.112222,68927078.51,102308462638.0,77640013.34,117997292282.0,-8712934.83,-15688829643.0,-0.112222,-0.132959,-13241918356.0,-2446911287.0,auto
2026-07-21,119.85,1482.0,-0.112222,68927078.51,102149930358.0,77640013.34,117997292282.0,-8712934.83,-15847361924.0,-0.112222,-0.134303,-13241918356.0,-2605443568.0,auto
2026-07-22,115.26,1475.6,-0.146222,66287318.06,97813566530.0,77640013.34,117997292282.0,-11352695.28,-20183725752.0,-0.146222,-0.171052,-17253826294.0,-2929899458.0,auto
2026-07-23,118.24,1480.9,-0.124148,68001149.47,100702902244.0,77640013.34,117997292282.0,-9638863.88,-17294390037.0,-0.124148,-0.146566,-14649145323.0,-2645244714.0,auto
2026-07-24,115.07,1469.4,-0.14763,66178046.93,97242022159.0,77640013.34,117997292282.0,-11461966.41,-20755270122.0,-0.14763,-0.175896,-17419896557.0,-3335373565.0,auto
2026-07-27,113.5,1469.4,-0.159259,65275122.33,95915264753.0,77640013.34,117997292282.0,-12364891.01,-22082027529.0,-0.159259,-0.18714,-18792161363.0,-3289866165.0,auto
2026-07-28,116.41,1469.4,-0.137704,66948695.95,98374413831.0,77640013.34,117997292282.0,-10691317.39,-19622878450.0,-0.137704,-0.166299,-16248664174.0,-3374214276.0,auto
2026-07-29,112.55,1469.4,-0.166296,64728766.68,95112449761.0,77640013.34,117997292282.0,-12911246.66,-22884842520.0,-0.166296,-0.193944,-19622512679.0,-3262329841.0,auto
2026-07-30,112.2,1469.4,-0.168889,64527477.76,94816675817.0,77640013.34,117997292282.0,-13112535.59,-23180616464.0,-0.168889,-0.19645,-19928431585.0,-3252184879.0,auto
2026-07-31,108.37,1469.4,-0.197259,62324801.82,91580063800.0,77640013.34,117997292282.0,-15315211.52,-26417228482.0,-0.197259,-0.22388,-23276058470.0,-3141170012.0,auto
