date,fx_rate,stat_code,source,fetched_at
2026-06-12,1527.0,731Y001,BOK_ECOS_731Y001_seed,2026-07-21T05:03:01Z
2026-06-15,1520.4,731Y001,BOK_ECOS_731Y001_seed,2026-07-21T05:03:01Z
2026-06-16,1510.0,731Y001,BOK_ECOS_731Y001_seed,2026-07-21T05:03:01Z
2026-06-17,1513.5,731Y001,BOK_ECOS_731Y001_seed,2026-07-21T05:03:01Z
2026-06-18,1512.8,731Y001,BOK_ECOS_731Y001_seed,2026-07-21T05:03:01Z
2026-06-19,1523.4,731Y001,BOK_ECOS_731Y001_seed,2026-07-21T05:03:01Z
2026-06-22,1535.0,731Y001,BOK_ECOS_731Y001_seed,2026-07-21T05:03:01Z
2026-06-23,1535.7,731Y001,BOK_ECOS_731Y001_seed,2026-07-21T05:03:01Z
2026-06-24,1537.2,731Y001,BOK_ECOS_731Y001_seed,2026-07-21T05:03:01Z
2026-06-25,1538.3,731Y001,BOK_ECOS_731Y001_seed,2026-07-21T05:03:01Z
2026-06-26,1545.3,731Y001,BOK_ECOS_731Y001_seed,2026-07-21T05:03:01Z
2026-06-29,1544.2,731Y001,BOK_ECOS_731Y001_seed,2026-07-21T05:03:01Z
2026-06-30,1541.5,731Y001,BOK_ECOS_731Y001_seed,2026-07-21T05:03:01Z
2026-07-01,1548.4,731Y001,BOK_ECOS_731Y001_seed,2026-07-21T05:03:01Z
2026-07-02,1554.4,731Y001,BOK_ECOS_731Y001_seed,2026-07-21T05:03:01Z
2026-07-03,1554.1,731Y001,BOK_ECOS_731Y001_seed,2026-07-21T05:03:01Z
2026-07-06,1539.7,731Y001,BOK_ECOS_731Y001_seed,2026-07-21T05:03:01Z
2026-07-07,1531.8,731Y001,BOK_ECOS_731Y001_seed,2026-07-21T05:03:01Z
2026-07-08,1526.6,731Y001,BOK_ECOS_731Y001_seed,2026-07-21T05:03:01Z
2026-07-09,1509.9,731Y001,BOK_ECOS_731Y001_seed,2026-07-21T05:03:01Z
2026-07-10,1504.2,731Y001,BOK_ECOS_731Y001_seed,2026-07-21T05:03:01Z
2026-07-13,1507.1,731Y001,BOK_ECOS_731Y001_seed,2026-07-21T05:03:01Z
2026-07-14,1504.9,731Y001,BOK_ECOS_731Y001_seed,2026-07-21T05:03:01Z
2026-07-15,1492.2,731Y001,BOK_ECOS_731Y001_seed,2026-07-21T05:03:01Z
2026-07-16,1488.8,731Y001,BOK_ECOS_731Y001_seed,2026-07-21T05:03:01Z
2026-07-20,1484.3,731Y001,BOK_ECOS_731Y001_seed,2026-07-21T05:03:01Z
2026-07-21,1482.0,731Y001,BOK_ECOS_731Y001_seed,2026-07-21T05:03:01Z
