date,close_usd,source,fetched_at
2026-06-12,160.95,seed_manual_verified,2026-07-21T05:03:01Z
2026-06-15,192.5,seed_manual_verified,2026-07-21T05:03:01Z
2026-06-16,201.8,seed_manual_verified,2026-07-21T05:03:01Z
2026-06-17,191.82,seed_manual_verified,2026-07-21T05:03:01Z
2026-06-18,185.0,seed_manual_verified,2026-07-21T05:03:01Z
2026-06-22,154.6,seed_manual_verified,2026-07-21T05:03:01Z
2026-06-23,156.11,seed_manual_verified,2026-07-21T05:03:01Z
2026-06-24,154.54,seed_manual_verified,2026-07-21T05:03:01Z
2026-06-25,153.0,seed_manual_verified,2026-07-21T05:03:01Z
2026-06-26,153.23,seed_manual_verified,2026-07-21T05:03:01Z
2026-06-29,164.19,seed_manual_verified,2026-07-21T05:03:01Z
2026-06-30,170.86,seed_manual_verified,2026-07-21T05:03:01Z
2026-07-01,157.54,seed_manual_verified,2026-07-21T05:03:01Z
2026-07-02,162.0,seed_manual_verified,2026-07-21T05:03:01Z
2026-07-03,162.0,seed_manual_verified,2026-07-21T05:03:01Z
2026-07-06,160.42,seed_manual_verified,2026-07-21T05:03:01Z
2026-07-07,149.47,seed_manual_verified,2026-07-21T05:03:01Z
2026-07-08,148.3,seed_manual_verified,2026-07-21T05:03:01Z
2026-07-09,152.16,seed_manual_verified,2026-07-21T05:03:01Z
2026-07-10,145.3,seed_manual_verified,2026-07-21T05:03:01Z
2026-07-13,139.14,seed_manual_verified,2026-07-21T05:03:01Z
2026-07-14,136.08,seed_manual_verified,2026-07-21T05:03:01Z
2026-07-15,135.27,seed_manual_verified,2026-07-21T05:03:01Z
2026-07-16,131.11,seed_manual_verified,2026-07-21T05:03:01Z
2026-07-17,123.99,seed_manual_verified,2026-07-21T05:03:01Z
2026-07-20,119.85,seed_manual_verified,2026-07-21T05:03:01Z
2026-07-22,115.26,yfinance,2026-07-23T01:06:45Z
2026-07-23,118.24,yfinance,2026-07-24T00:55:48Z
2026-07-24,115.07,yfinance,2026-07-26T23:49:09Z
2026-07-27,113.5,yfinance,2026-07-28T00:19:56Z
2026-07-28,116.41,yfinance,2026-07-29T01:05:04Z
2026-07-29,112.55,yfinance,2026-07-29T23:30:09Z
2026-07-30,112.2,yfinance,2026-07-31T01:09:57Z
2026-07-31,108.37,yfinance,2026-08-03T01:12:12Z
2026-08-03,114.53,yfinance,2026-08-04T01:04:11Z
2026-08-04,125.33,yfinance,2026-08-05T01:00:14Z
2026-08-05,108.27,yfinance,2026-08-06T01:00:45Z
2026-08-06,114.92,yfinance,2026-08-07T01:52:37Z
2026-08-07,133.11,yfinance,2026-08-10T00:02:19Z
2026-08-10,138.74,yfinance,2026-08-11T00:04:53Z
2026-08-11,133.29,yfinance,2026-08-12T00:39:59Z
2026-08-12,146.15,yfinance,2026-08-13T00:42:12Z
2026-08-13,141.29,yfinance,2026-08-14T00:41:47Z
2026-08-14,140.0,yfinance,2026-08-16T23:52:53Z
2026-08-17,146.23,yfinance,2026-08-17T23:55:04Z
2026-08-18,143.34,yfinance,2026-08-18T23:54:53Z
2026-08-19,139.65,yfinance,2026-08-19T23:55:07Z
2026-08-20,134.0,yfinance,2026-08-20T23:56:22Z
